년도,부류,부류 상세,도매시장,공판장,물량,금액,단위
"2014","청과","채소","서울강서","강서청과","68172","64958",톤, 백만원
"2014","청과","채소","서울강서","농협강서(공)","89441","92174",톤, 백만원
"2014","청과","채소","서울강서","시장도매인","189740","254096",톤, 백만원
"2014","청과","채소","부산엄궁","부산청과","50873","75414",톤, 백만원
"2014","청과","채소","부산엄궁","항도청과","57069","83154",톤, 백만원
"2014","청과","채소","부산엄궁","농협부산(공)","82083","126842",톤, 백만원
"2014","청과","채소","부산엄궁","상장예외","144207","62090",톤, 백만원
"2014","청과","채소","부산반여","동부청과","54080","68017",톤, 백만원
"2014","청과","채소","부산반여","부산중앙청과","48068","69411",톤, 백만원
"2014","청과","채소","부산반여","농협반여(공)","61222","96152",톤, 백만원
"2014","청과","채소","부산반여","상장예외","64229","42191",톤, 백만원
"2014","청과","채소","대구북부","대구중앙청과","70032","118601",톤, 백만원
"2014","청과","채소","대구북부","효성청과","113927","123805",톤, 백만원
"2014","청과","채소","대구북부","대양청과","99335","110095",톤, 백만원
"2014","청과","채소","대구북부","농협북대구(공)","45614","67388",톤, 백만원
"2014","청과","채소","대구북부","대구경북원예농협(공)","41335","29870",톤, 백만원
"2014","청과","채소","대구북부","상장예외","95191","53092",톤, 백만원
"2014","청과","채소","인천구월","인천농산","59293","59813",톤, 백만원
"2014","청과","채소","인천구월","대인농산","42120","46917",톤, 백만원
